YEAR,QUARTER,MONTH,UT15_NAME,UT17_NAME,UT20_NAME,GEOGRAPHY,MARKET,COUNTRY,REVENUE_BUDGET,COST_BUDGET,EXPENSE_BUDGET,REGION,BRANCH
2025,2,4,Data Platform,AI/ML Ops,AI Governance,EMEA,France Market,France Plan,1163947.29,0.0,0.0,France Region,
2025,3,7,Data Platform,AI/ML Ops,AI Governance,EMEA,France Market,France Plan,221383.66,0.0,0.0,France Region,
2025,4,10,Data Platform,AI/ML Ops,AI Governance,EMEA,France Market,France Plan,3545221.66,0.0,0.0,France Region,
2025,3,7,Data Platform,AI/ML Ops,AI Governance,APAC,India/South Asia Market,India & South Asia Plan,647053.38,0.0,0.0,India/South Asia Region,
2025,3,7,Data Platform,AI/ML Ops,AI Governance,APAC,Korea Market,Korea Plan,295393.78,0.0,0.0,Korea Region,
2025,4,10,Data Platform,AI/ML Ops,AI Governance,APAC,Korea Market,Korea Plan,842267.04,0.0,0.0,Korea Region,
2025,3,7,Data Platform,AI/ML Ops,AI Governance,Americas,Latin America Market,Latin America Market Plan,3565285.74,0.0,0.0,Latin America Top Region,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,Americas,US Top Market,U.S. Other Plan,-208131.01,0.0,0.0,US Top Region,
2025,1,1,Data Platform,AI/ML Ops,AI Governance,Americas,US Public Market,U.S. Public Plan,-1151547.62,0.0,0.0,US Public Top Account Region,
2025,3,7,Data Platform,AI/ML Ops,AI Governance,Americas,US Public Market,U.S. Public Plan,1352994.72,0.0,0.0,US Public Top Account Region,
2025,2,4,Data Platform,AI/ML Ops,AI Governance,Americas,US Industry Market,US Industry Plan,5493333.29,0.0,0.0,US Industry Region,
2025,2,4,Data Platform,AI/ML Ops,AI Governance,Americas,US National Market,US National Plan,7297899.11,0.0,0.0,US Northeast Region,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,APAC,APAC Top Countries,AP Total Top Adjustments excl APSC Plan,-269067.04,0.0,0.0,APAC Top Region,
2025,4,10,Data Platform,AI/ML Ops,AI Tools,Americas,Canadian Market,Canada Plan,3626694.69,0.0,0.0,Canada Region,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,EMEA,EMEA Top Countries,EMEA Top Countries Plan,0.0,0.0,0.0,EMEA Top Region,
2025,1,1,Data Platform,AI/ML Ops,AI Tools,EMEA,France Market,France Plan,501461.89,0.0,0.0,France Region,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,APAC,India/South Asia Market,India & South Asia Plan,659816.86,0.0,0.0,India/South Asia Region,
2025,1,1,Data Platform,AI/ML Ops,AI Tools,EMEA,Italy Market,Italy Plan,571745.53,0.0,0.0,Italy Region,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,EMEA,Italy Market,Italy Plan,1892711.58,0.0,0.0,Italy Region,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,Japan,Japan Market,Japan Plan,3142175.16,0.0,0.0,Japan Region,
2025,4,10,Data Platform,AI/ML Ops,AI Tools,Japan,Japan Market,Japan Plan,2749601.27,0.0,0.0,Japan Region,
2025,1,1,Data Platform,AI/ML Ops,AI Tools,EMEA,SPGI Market,SPGI Top,378843.85,0.0,0.0,SPGI Region,
2025,3,7,Data Platform,AI/ML Ops,AI Tools,Americas,US Financial Service Market,U.S. Financial Plan,4663008.91,0.0,0.0,US Financial Service Region,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,EMEA,UKI Market,UK/Ireland Plan,670911.21,0.0,0.0,UKI Region,
2025,4,10,Data Platform,AI/ML Ops,AI Tools,EMEA,UKI Market,UK/Ireland Plan,3673212.02,0.0,0.0,UKI Region,
2025,1,1,Data Platform,AI/ML Ops,AI Tools,Americas,US Industry Market,US Industry Plan,3864752.85,0.0,0.0,US Industry Region,
2025,2,4,Data Platform,AI/ML Ops,AI Tools,Americas,US National Market,US National Plan,8639289.62,0.0,0.0,US Northeast Region,
2025,1,1,Automation Platform,Application Development & Integration,Application Development,APAC,APAC Top Countries,AP Total Top Adjustments excl APSC Plan,-192383.25,0.0,0.0,APAC Top Region,
2025,1,1,Automation Platform,Application Development & Integration,Application Development,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,687624.85,0.0,0.0,Australia/New Zealand Region,
2025,2,4,Automation Platform,Application Development & Integration,Application Development,EMEA,DACH Market,DACH Plan,5455262.5,0.0,0.0,DACH Region,
2025,3,7,Automation Platform,Application Development & Integration,Application Development,EMEA,DACH Market,DACH Plan,3517581.47,0.0,0.0,DACH Region,
2025,2,4,Automation Platform,Application Development & Integration,Application Development,APAC,Greater China Group Market,Greater China Group Plan,2283691.15,0.0,0.0,Greater China Group Region,
2025,4,10,Automation Platform,Application Development & Integration,Application Development,APAC,Greater China Group Market,Greater China Group Plan,3331575.69,0.0,0.0,Greater China Group Region,
2025,2,4,Automation Platform,Application Development & Integration,Application Development,Japan,Japan Market,Japan Plan,9390860.26,0.0,0.0,Japan Region,
2025,4,10,Automation Platform,Application Development & Integration,Application Development,Japan,Japan Market,Japan Plan,12145792.72,0.0,0.0,Japan Region,
2025,1,1,Automation Platform,Application Development & Integration,Application Development,Americas,Latin America Market,Latin America Market Plan,4724535.02,0.0,0.0,Latin America Top Region,
2025,2,4,Automation Platform,Application Development & Integration,Application Development,Americas,Latin America Market,Latin America Market Plan,5328654.51,0.0,0.0,Latin America Top Region,
2025,4,10,Automation Platform,Application Development & Integration,Application Development,EMEA,SPGI Market,SPGI Top,5286471.36,0.0,0.0,SPGI Region,
2025,3,7,Automation Platform,Application Development & Integration,Application Development,Americas,US Partner Service Market,US Build/Service Partnerss Plan,3025.82,0.0,0.0,US Partner Service Region,
2025,1,1,Automation Platform,Application Development & Integration,Application Development,Americas,US Industry Market,US Industry Plan,4650185.65,0.0,0.0,US Industry Region,
2025,3,7,Automation Platform,Application Development & Integration,Application Development,Americas,US National Market,US National Plan,10296656.78,0.0,0.0,US Northeast Region,
2025,4,10,Automation Platform,Application Development & Integration,Application Development,Americas,US National Market,US National Plan,8582806.42,0.0,0.0,US Northeast Region,
2025,1,1,Automation Platform,Application Development & Integration,Application Integration,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,2865021.06,0.0,0.0,Australia/New Zealand Region,
2025,4,10,Automation Platform,Application Development & Integration,Application Integration,Americas,Canadian Market,Canada Plan,10246848.44,0.0,0.0,Canada Region,
2025,1,1,Automation Platform,Application Development & Integration,Application Integration,EMEA,EMEA Top Countries,EMEA Top Countries Plan,86.55,0.0,0.0,EMEA Top Region,
2025,2,4,Automation Platform,Application Development & Integration,Application Integration,Japan,Japan Market,Japan Plan,11685041.75,0.0,0.0,Japan Region,
2025,1,1,Automation Platform,Application Development & Integration,Application Integration,Americas,Latin America Market,Latin America Market Plan,6186360.76,0.0,0.0,Latin America Top Region,
2025,2,4,Automation Platform,Application Development & Integration,Application Integration,Americas,Latin America Market,Latin America Market Plan,9007913.71,0.0,0.0,Latin America Top Region,
2025,3,7,Automation Platform,Application Development & Integration,Application Integration,Americas,Latin America Market,Latin America Market Plan,13569426.78,0.0,0.0,Latin America Top Region,
2025,1,1,Automation Platform,Application Development & Integration,Application Integration,Americas,US Public Market,U.S. Public Plan,4686710.72,0.0,0.0,US Public Top Account Region,
2025,3,7,Automation Platform,Application Development & Integration,Application Integration,Americas,US Public Market,U.S. Public Plan,6065437.92,0.0,0.0,US Public Top Account Region,
2025,2,4,Automation Platform,Application Development & Integration,Application Integration,Americas,US Industry Market,US Industry Plan,12780805.57,0.0,0.0,US Industry Region,
2025,3,7,Automation Platform,Application Development & Integration,Application Integration,Americas,US National Market,US National Plan,16147880.76,0.0,0.0,US Northeast Region,
2025,4,10,Automation Platform,Technology Business Management,Asset Lifecycle Management,APAC,ASEAN Market,Asean Plan,2125111.33,0.0,0.0,ASEAN Region,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,59776.69,0.0,0.0,Australia/New Zealand Region,
2025,3,7,Automation Platform,Technology Business Management,Asset Lifecycle Management,Americas,Canadian Market,Canada Plan,1661222.87,0.0,0.0,Canada Region,
2025,4,10,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,DACH Market,DACH Plan,2760038.33,0.0,0.0,DACH Region,
2025,4,10,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,EMEA Top Countries,EMEA Top Countries Plan,0.0,0.0,0.0,EMEA Top Region,
2025,2,4,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,France Market,France Plan,1196677.88,0.0,0.0,France Region,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,Italy Market,Italy Plan,722710.38,0.0,0.0,Italy Region,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,APAC,Korea Market,Korea Plan,95548.91,0.0,0.0,Korea Region,
2025,3,7,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,Middle East/Africa Market,Middle East and Africa Plan,1066193.29,0.0,0.0,Middle East/Africa Top Region,
2025,4,10,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,Middle East/Africa Market,Middle East and Africa Plan,6121610.74,0.0,0.0,Middle East/Africa Top Region,
2025,4,10,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan",6741761.09,0.0,0.0,"Northern, Central and Eastern Europe Top Region",
2025,3,7,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,SPGI Market,SPGI Top,559467.1,0.0,0.0,SPGI Region,
2025,3,7,Automation Platform,Technology Business Management,Asset Lifecycle Management,Americas,US Financial Service Market,U.S. Financial Plan,1886255.36,0.0,0.0,US Financial Service Region,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,Americas,US Public Market,U.S. Public Plan,254146.71,0.0,0.0,US Public Top Account Region,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,Americas,US Partner Service Market,US Build/Service Partnerss Plan,72208.15,0.0,0.0,US Partner Service Region,
2025,2,4,Automation Platform,Technology Business Management,Asset Lifecycle Management,Americas,US Partner Service Market,US Build/Service Partnerss Plan,81221.16,0.0,0.0,US Partner Service Region,
2025,4,10,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),APAC,APAC Top Countries,AP Total Top Adjustments excl APSC Plan,24453.33,0.0,0.0,APAC Top Region,
2025,1,1,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),APAC,Australia/New Zealand Market,Australia/New Zealand Plan,-759165.39,0.0,0.0,Australia/New Zealand Region,
2025,4,10,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),EMEA,DACH Market,DACH Plan,112164.35,0.0,0.0,DACH Region,
2025,4,10,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),EMEA,EMEA Top Countries,EMEA Top Countries Plan,-274.87,0.0,0.0,EMEA Top Region,
2025,3,7,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),APAC,Greater China Group Market,Greater China Group Plan,-25352.43,0.0,0.0,Greater China Group Region,
2025,1,1,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),APAC,India/South Asia Market,India & South Asia Plan,-158877.21,0.0,0.0,India/South Asia Region,
2025,3,7,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),APAC,Korea Market,Korea Plan,224863.89,0.0,0.0,Korea Region,
2025,2,4,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),EMEA,SPGI Market,SPGI Top,270036.01,0.0,0.0,SPGI Region,
2025,3,7,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),EMEA,SPGI Market,SPGI Top,-1586100.85,0.0,0.0,SPGI Region,
2025,2,4,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Americas,US Financial Service Market,U.S. Financial Plan,-1519467.84,0.0,0.0,US Financial Service Region,
2025,4,10,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Americas,US Financial Service Market,U.S. Financial Plan,-7338582.21,0.0,0.0,US Financial Service Region,
2025,1,1,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Americas,US Public Market,U.S. Public Plan,-250121.63,0.0,0.0,US Public Top Account Region,
2025,3,7,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Americas,US Public Market,U.S. Public Plan,-742122.42,0.0,0.0,US Public Top Account Region,
2025,4,10,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),EMEA,UKI Market,UK/Ireland Plan,-2424356.35,0.0,0.0,UKI Region,
2025,3,7,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Americas,US National Market,US National Plan,-4196070.67,0.0,0.0,US Northeast Region,
2025,4,10,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Americas,US National Market,US National Plan,-10467639.07,0.0,0.0,US Northeast Region,
2025,3,7,Automation Platform,Application Development & Integration,B2B Integration,APAC,APAC Top Countries,AP Total Top Adjustments excl APSC Plan,-78664.51,0.0,0.0,APAC Top Region,
2025,4,10,Automation Platform,Application Development & Integration,B2B Integration,EMEA,EMEA Top Countries,EMEA Top Countries Plan,-0.01,0.0,0.0,EMEA Top Region,
2025,3,7,Automation Platform,Application Development & Integration,B2B Integration,APAC,Greater China Group Market,Greater China Group Plan,430073.8,0.0,0.0,Greater China Group Region,
2025,2,4,Automation Platform,Application Development & Integration,B2B Integration,Japan,Japan Market,Japan Plan,271012.81,0.0,0.0,Japan Region,
2025,4,10,Automation Platform,Application Development & Integration,B2B Integration,Japan,Japan Market,Japan Plan,429985.7,0.0,0.0,Japan Region,
2025,4,10,Automation Platform,Application Development & Integration,B2B Integration,Americas,Latin America Market,Latin America Market Plan,2898091.83,0.0,0.0,Latin America Top Region,
2025,1,1,Automation Platform,Application Development & Integration,B2B Integration,EMEA,Middle East/Africa Market,Middle East and Africa Plan,428417.64,0.0,0.0,Middle East/Africa Top Region,
2025,4,10,Automation Platform,Application Development & Integration,B2B Integration,EMEA,SPGI Market,SPGI Top,1293950.84,0.0,0.0,SPGI Region,
2025,2,4,Automation Platform,Application Development & Integration,B2B Integration,Americas,US Financial Service Market,U.S. Financial Plan,4580876.26,0.0,0.0,US Financial Service Region,
2025,4,10,Automation Platform,Application Development & Integration,B2B Integration,Americas,US Financial Service Market,U.S. Financial Plan,7625865.73,0.0,0.0,US Financial Service Region,
2025,2,4,Automation Platform,Application Development & Integration,B2B Integration,Americas,US Top Market,U.S. Other Plan,-1977845.07,0.0,0.0,US Top Region,
2025,4,10,Automation Platform,Application Development & Integration,B2B Integration,Americas,US Public Market,U.S. Public Plan,5049592.17,0.0,0.0,US Public Top Account Region,
2025,3,7,Automation Platform,Application Development & Integration,B2B Integration,Americas,US Industry Market,US Industry Plan,2845332.9,0.0,0.0,US Industry Region,
2025,2,4,Data Platform,AI Productivity,Business Analytics,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,819570.76,0.0,0.0,Australia/New Zealand Region,
2025,4,10,Data Platform,AI Productivity,Business Analytics,Americas,Canadian Market,Canada Plan,2826261.5,0.0,0.0,Canada Region,
2025,1,1,Data Platform,AI Productivity,Business Analytics,EMEA,EMEA Top Countries,EMEA Top Countries Plan,-1.78,0.0,0.0,EMEA Top Region,
2025,1,1,Data Platform,AI Productivity,Business Analytics,EMEA,France Market,France Plan,310243.98,0.0,0.0,France Region,
2025,3,7,Data Platform,AI Productivity,Business Analytics,Japan,Japan Market,Japan Plan,2979273.6,0.0,0.0,Japan Region,
2025,1,1,Data Platform,AI Productivity,Business Analytics,APAC,Korea Market,Korea Plan,17397.74,0.0,0.0,Korea Region,
2025,3,7,Data Platform,AI Productivity,Business Analytics,APAC,Korea Market,Korea Plan,190551.21,0.0,0.0,Korea Region,
2025,4,10,Data Platform,AI Productivity,Business Analytics,APAC,Korea Market,Korea Plan,488611.39,0.0,0.0,Korea Region,
2025,1,1,Data Platform,AI Productivity,Business Analytics,EMEA,Middle East/Africa Market,Middle East and Africa Plan,273030.61,0.0,0.0,Middle East/Africa Top Region,
2025,3,7,Data Platform,AI Productivity,Business Analytics,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan",1138586.73,0.0,0.0,"Northern, Central and Eastern Europe Top Region",
2025,3,7,Data Platform,AI Productivity,Business Analytics,EMEA,SPGI Market,SPGI Top,416683.87,0.0,0.0,SPGI Region,
2025,4,10,Data Platform,AI Productivity,Business Analytics,Americas,US Federal Market,U.S. Federal Plan,1111267.38,0.0,0.0,US Federal Region,
2025,1,1,Data Platform,AI Productivity,Business Analytics,EMEA,UKI Market,UK/Ireland Plan,355384.12,0.0,0.0,UKI Region,
2025,4,10,Data Platform,AI Productivity,Business Analytics,EMEA,UKI Market,UK/Ireland Plan,2346776.22,0.0,0.0,UKI Region,
2025,2,4,Data Platform,Data Fabric,Content Management,APAC,APAC Top Countries,AP Total Top Adjustments excl APSC Plan,-28719.45,0.0,0.0,APAC Top Region,
2025,3,7,Data Platform,Data Fabric,Content Management,APAC,ASEAN Market,Asean Plan,268746.68,0.0,0.0,ASEAN Region,
2025,4,10,Data Platform,Data Fabric,Content Management,APAC,ASEAN Market,Asean Plan,787855.84,0.0,0.0,ASEAN Region,
2025,2,4,Data Platform,Data Fabric,Content Management,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,320045.24,0.0,0.0,Australia/New Zealand Region,
2025,3,7,Data Platform,Data Fabric,Content Management,Americas,Canadian Market,Canada Plan,759866.07,0.0,0.0,Canada Region,
2025,1,1,Data Platform,Data Fabric,Content Management,EMEA,DACH Market,DACH Plan,446705.62,0.0,0.0,DACH Region,
2025,1,1,Data Platform,Data Fabric,Content Management,APAC,India/South Asia Market,India & South Asia Plan,269577.52,0.0,0.0,India/South Asia Region,
2025,1,1,Data Platform,Data Fabric,Content Management,Japan,Japan Market,Japan Plan,728037.97,0.0,0.0,Japan Region,
2025,1,1,Data Platform,Data Fabric,Content Management,APAC,Korea Market,Korea Plan,14809.22,0.0,0.0,Korea Region,
2025,2,4,Data Platform,Data Fabric,Content Management,APAC,Korea Market,Korea Plan,117336.88,0.0,0.0,Korea Region,
2025,3,7,Data Platform,Data Fabric,Content Management,Americas,Latin America Market,Latin America Market Plan,486275.6,0.0,0.0,Latin America Top Region,
2025,4,10,Data Platform,Data Fabric,Content Management,EMEA,Middle East/Africa Market,Middle East and Africa Plan,960941.22,0.0,0.0,Middle East/Africa Top Region,
2025,2,4,Data Platform,Data Fabric,Content Management,EMEA,SPGI Market,SPGI Top,568665.08,0.0,0.0,SPGI Region,
2025,3,7,Data Platform,Data Fabric,Content Management,Americas,US Public Market,U.S. Public Plan,325793.52,0.0,0.0,US Public Top Account Region,
2025,3,7,Data Platform,Data Fabric,Content Management,EMEA,UKI Market,UK/Ireland Plan,206009.08,0.0,0.0,UKI Region,
2025,3,7,Data Platform,Data Fabric,Content Management,Americas,US National Market,US National Plan,752699.91,0.0,0.0,US Northeast Region,
2025,3,7,Data Platform,Data Fabric,Data Integration,APAC,APAC Top Countries,AP Total Top Adjustments excl APSC Plan,-190783.57,0.0,0.0,APAC Top Region,
2025,3,7,Data Platform,Data Fabric,Data Integration,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,800602.33,0.0,0.0,Australia/New Zealand Region,
2025,4,10,Data Platform,Data Fabric,Data Integration,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,2590847.73,0.0,0.0,Australia/New Zealand Region,
2025,4,10,Data Platform,Data Fabric,Data Integration,EMEA,EMEA Top Countries,EMEA Top Countries Plan,0.0,0.0,0.0,EMEA Top Region,
2025,1,1,Data Platform,Data Fabric,Data Integration,EMEA,Middle East/Africa Market,Middle East and Africa Plan,560058.82,0.0,0.0,Middle East/Africa Top Region,
2025,3,7,Data Platform,Data Fabric,Data Integration,EMEA,Middle East/Africa Market,Middle East and Africa Plan,1141208.09,0.0,0.0,Middle East/Africa Top Region,
2025,3,7,Data Platform,Data Fabric,Data Integration,Americas,US Federal Market,U.S. Federal Plan,1163542.12,0.0,0.0,US Federal Region,
2025,3,7,Data Platform,Data Fabric,Data Integration,Americas,US Financial Service Market,U.S. Financial Plan,4365124.41,0.0,0.0,US Financial Service Region,
2025,1,1,Data Platform,Data Fabric,Data Integration,Americas,US Top Market,US Other,1.14,0.0,0.0,US Top Region,
2025,2,4,Data Platform,Data Fabric,Data Integration,Americas,US Top Market,US Other,0.67,0.0,0.0,US Top Region,
2025,4,10,Data Platform,Data Fabric,Data Intelligence,APAC,ASEAN Market,Asean Plan,2124044.09,0.0,0.0,ASEAN Region,
2025,3,7,Data Platform,Data Fabric,Data Intelligence,EMEA,DACH Market,DACH Plan,3397319.56,0.0,0.0,DACH Region,
2025,4,10,Data Platform,Data Fabric,Data Intelligence,EMEA,EMEA Top Countries,EMEA Top Countries Plan,-0.01,0.0,0.0,EMEA Top Region,
2025,1,1,Data Platform,Data Fabric,Data Intelligence,APAC,Korea Market,Korea Plan,20110.47,0.0,0.0,Korea Region,
2025,3,7,Data Platform,Data Fabric,Data Intelligence,Americas,Latin America Market,Latin America Market Plan,3463523.51,0.0,0.0,Latin America Top Region,
2025,3,7,Data Platform,Data Fabric,Data Intelligence,EMEA,Middle East/Africa Market,Middle East and Africa Plan,1005422.41,0.0,0.0,Middle East/Africa Top Region,
2025,1,1,Data Platform,Data Fabric,Data Intelligence,Americas,US Federal Market,U.S. Federal Plan,550280.78,0.0,0.0,US Federal Region,
2025,2,4,Data Platform,Data Fabric,Data Intelligence,Americas,US Federal Market,U.S. Federal Plan,1467729.39,0.0,0.0,US Federal Region,
2025,1,1,Data Platform,Data Fabric,Data Intelligence,Americas,US Financial Service Market,U.S. Financial Plan,2147994.71,0.0,0.0,US Financial Service Region,
2025,2,4,Data Platform,Data Fabric,Data Intelligence,Americas,US Top Market,U.S. Other Plan,-386754.36,0.0,0.0,US Top Region,
2025,3,7,Data Platform,Data Fabric,Data Intelligence,EMEA,UKI Market,UK/Ireland Plan,909254.12,0.0,0.0,UKI Region,
2025,3,7,Data Platform,Data Fabric,Data Intelligence,Americas,US National Market,US National Plan,5058366.64,0.0,0.0,US Northeast Region,
2025,4,10,Data Platform,Data Fabric,Data Intelligence,Americas,US National Market,US National Plan,9134716.15,0.0,0.0,US Northeast Region,
2025,1,1,Data Platform,Data Fabric,Data Lakehouse,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,176014.09,0.0,0.0,Australia/New Zealand Region,
2025,1,1,Data Platform,Data Fabric,Data Lakehouse,Americas,Canadian Market,Canada Plan,813382.3,0.0,0.0,Canada Region,
2025,2,4,Data Platform,Data Fabric,Data Lakehouse,Americas,Canadian Market,Canada Plan,1031617.54,0.0,0.0,Canada Region,
2025,1,1,Data Platform,Data Fabric,Data Lakehouse,EMEA,DACH Market,DACH Plan,1617340.77,0.0,0.0,DACH Region,
2025,3,7,Data Platform,Data Fabric,Data Lakehouse,EMEA,DACH Market,DACH Plan,3840328.05,0.0,0.0,DACH Region,
2025,3,7,Data Platform,Data Fabric,Data Lakehouse,EMEA,EMEA Top Countries,EMEA Top Countries Plan,0.0,0.0,0.0,EMEA Top Region,
2025,1,1,Data Platform,Data Fabric,Data Lakehouse,EMEA,France Market,France Plan,595712.29,0.0,0.0,France Region,
2025,2,4,Data Platform,Data Fabric,Data Lakehouse,EMEA,France Market,France Plan,1376796.57,0.0,0.0,France Region,
2025,3,7,Data Platform,Data Fabric,Data Lakehouse,EMEA,France Market,France Plan,229637.08,0.0,0.0,France Region,
2025,2,4,Data Platform,Data Fabric,Data Lakehouse,EMEA,Italy Market,Italy Plan,2313309.87,0.0,0.0,Italy Region,
2025,3,7,Data Platform,Data Fabric,Data Lakehouse,EMEA,Italy Market,Italy Plan,537721.63,0.0,0.0,Italy Region,
2025,4,10,Data Platform,Data Fabric,Data Lakehouse,EMEA,Italy Market,Italy Plan,4354817.05,0.0,0.0,Italy Region,
2025,1,1,Data Platform,Data Fabric,Data Lakehouse,Americas,US Federal Market,U.S. Federal Plan,620482.8,0.0,0.0,US Federal Region,
2025,2,4,Data Platform,Data Fabric,Data Lakehouse,Americas,US Federal Market,U.S. Federal Plan,824767.05,0.0,0.0,US Federal Region,
2025,2,4,Data Platform,Data Fabric,Data Lakehouse,Americas,US Financial Service Market,U.S. Financial Plan,8055152.05,0.0,0.0,US Financial Service Region,
